taxonKey,genus,species,decimalLatitude,decimalLongitude,country,coordinateUncertaintyInMeters,year,month,day
7294715,Cordia,Cordia superba,-22.8818,-43.540883,Brazil,8.0,2022.0,10.0,17.0
7294715,Cordia,Cordia superba,-22.88577,-43.540497,Brazil,5.0,2022.0,10.0,23.0
7294715,Cordia,Cordia superba,-22.885528,-43.540538,Brazil,5.0,2022.0,10.0,23.0
7294715,Cordia,Cordia superba,-2.897778,-40.462222,Brazil,,2022.0,10.0,30.0
7294715,Cordia,Cordia superba,-3.313889,-39.517222,Brazil,,2022.0,11.0,6.0
7294715,Cordia,Cordia superba,-22.243333,-42.458333,Brazil,8.0,2022.0,11.0,15.0
7294715,Cordia,Cordia superba,-10.169722,-45.810556,Brazil,,2022.0,12.0,14.0
7294715,Cordia,Cordia superba,-25.49344,-49.352799,Brazil,,2021.0,1.0,2.0
7294715,Cordia,Cordia superba,-22.927183,-47.119557,Brazil,,2021.0,1.0,20.0
7294715,Cordia,Cordia superba,-23.546389,-46.708611,Brazil,,2021.0,1.0,27.0
7294715,Cordia,Cordia superba,-22.422288,-43.152217,Brazil,5.0,2021.0,1.0,13.0
7294715,Cordia,Cordia superba,-23.548299,-46.659141,Brazil,,2021.0,1.0,24.0
7294715,Cordia,Cordia superba,-23.129739,-44.930929,Brazil,35.0,2021.0,2.0,21.0
7294715,Cordia,Cordia superba,-23.010319,-43.474782,Brazil,65.0,2021.0,2.0,6.0
7294715,Cordia,Cordia superba,-22.741476,-47.624372,Brazil,,2021.0,2.0,18.0
7294715,Cordia,Cordia superba,-22.912668,-49.014442,Brazil,,2021.0,2.0,2.0
7294715,Cordia,Cordia superba,-22.912668,-49.014442,Brazil,,2021.0,2.0,2.0
7294715,Cordia,Cordia superba,-25.441541,-49.238844,Brazil,99.0,2021.0,2.0,7.0
7294715,Cordia,Cordia superba,-22.894913,-43.535945,Brazil,65.0,2021.0,2.0,7.0
7294715,Cordia,Cordia superba,-23.545215,-47.118895,Brazil,,2021.0,2.0,11.0
7294715,Cordia,Cordia superba,-23.117778,-46.535278,Brazil,,2021.0,2.0,12.0
7294715,Cordia,Cordia superba,-23.137033,-46.911545,Brazil,11.0,2021.0,2.0,14.0
7294715,Cordia,Cordia superba,-22.952253,-43.370109,Brazil,8.0,2021.0,2.0,19.0
7294715,Cordia,Cordia superba,-20.126517,-44.22094,Brazil,32.0,2021.0,3.0,7.0
7294715,Cordia,Cordia superba,-23.594687,-46.665516,Brazil,,2021.0,3.0,15.0
7294715,Cordia,Cordia superba,-22.40678,-43.082165,Brazil,,2021.0,3.0,14.0
7294715,Cordia,Cordia superba,-22.798983,-45.228149,Brazil,50.0,2021.0,3.0,18.0
7294715,Cordia,Cordia superba,-22.929403,-43.235396,Brazil,24.0,2021.0,3.0,24.0
7294715,Cordia,Cordia superba,-23.245494,-45.82517,Brazil,10.0,2021.0,3.0,25.0
7294715,Cordia,Cordia superba,-22.827053,-43.287225,Brazil,5.0,2021.0,4.0,30.0
7294715,Cordia,Cordia superba,-22.769217,-43.47689,Brazil,,2021.0,4.0,11.0
7294715,Cordia,Cordia superba,-21.315278,-42.811944,Brazil,,2021.0,4.0,22.0
7294715,Cordia,Cordia superba,-21.315278,-42.811944,Brazil,,2021.0,4.0,22.0
7294715,Cordia,Cordia superba,-22.424604,-42.743847,Brazil,20.0,2021.0,5.0,3.0
7294715,Cordia,Cordia superba,-19.983431,-43.977648,Brazil,4.0,2021.0,5.0,17.0
7294715,Cordia,Cordia superba,-22.913332,-43.694766,Brazil,8.0,2021.0,5.0,28.0
7294715,Cordia,Cordia superba,-22.818333,-43.429722,Brazil,,2021.0,5.0,28.0
7294715,Cordia,Cordia superba,-22.983533,-43.205461,Brazil,13.0,2021.0,6.0,22.0
7294715,Cordia,Cordia superba,-22.995474,-47.033397,Brazil,60.0,2021.0,6.0,10.0
7294715,Cordia,Cordia superba,-22.983781,-43.215507,Brazil,13.0,2021.0,6.0,12.0
7294715,Cordia,Cordia superba,-22.902342,-43.225703,Brazil,65.0,2021.0,7.0,20.0
7294715,Cordia,Cordia superba,-22.948204,-46.543034,Brazil,,2021.0,7.0,3.0
7294715,Cordia,Cordia superba,-22.948204,-46.543034,Brazil,,2021.0,7.0,3.0
7294715,Cordia,Cordia superba,-22.93784,-43.173325,Brazil,,2021.0,7.0,17.0
7294715,Cordia,Cordia superba,-22.879642,-43.317351,Brazil,15.0,2021.0,7.0,19.0
7294715,Cordia,Cordia superba,-22.377983,-43.870755,Brazil,9.0,2021.0,7.0,20.0
7294715,Cordia,Cordia superba,-22.065614,-47.807297,Brazil,7.0,2021.0,8.0,9.0
7294715,Cordia,Cordia superba,-22.065614,-47.807297,Brazil,7.0,2021.0,8.0,9.0
7294715,Cordia,Cordia superba,-22.065614,-47.807297,Brazil,7.0,2021.0,8.0,9.0
7294715,Cordia,Cordia superba,-22.902508,-43.225588,Brazil,5.0,2021.0,9.0,2.0
7294715,Cordia,Cordia superba,-22.065614,-47.807297,Brazil,7.0,2021.0,9.0,1.0
7294715,Cordia,Cordia superba,-22.065614,-47.807297,Brazil,7.0,2021.0,9.0,1.0
7294715,Cordia,Cordia superba,-22.065614,-47.807297,Brazil,7.0,2021.0,9.0,1.0
7294715,Cordia,Cordia superba,-23.004328,-43.434929,Brazil,6.0,2021.0,9.0,13.0
7294715,Cordia,Cordia superba,-23.496667,-47.504444,Brazil,14.0,2021.0,9.0,30.0
7294715,Cordia,Cordia superba,-22.983353,-43.205939,Brazil,19.0,2021.0,10.0,16.0
7294715,Cordia,Cordia superba,-22.909416,-43.201079,Brazil,,2021.0,10.0,2.0
7294715,Cordia,Cordia superba,-22.909416,-43.201079,Brazil,,2021.0,10.0,2.0
7294715,Cordia,Cordia superba,-22.909416,-43.201079,Brazil,,2021.0,10.0,3.0
7294715,Cordia,Cordia superba,-22.567939,-48.165108,Brazil,6.0,2021.0,10.0,5.0
7294715,Cordia,Cordia superba,-22.806208,-43.179869,Brazil,20.0,2021.0,10.0,7.0
